legal_name,lei,uid_ch,domicile_country,hq_city,hq_region,geneva_link,source_key,retrieved_at
3M,,,,,,,index_universe,2026-07-07T20:39:30Z
3M COMPANY,LUZQVYP4VS22CLWDAR65,262413,US,St. Paul,US-MN,none,gleif,2026-07-19T02:41:34Z
3i,,,,,,,index_universe,2026-07-07T20:39:37Z
A. O. Smith,,,,,,,index_universe,2026-07-07T20:39:30Z
ABB Ltd,5493000LKVGOO9PELI61,CHE-101.049.653,CH,Zurich,CH-ZH,none,gleif,2026-07-19T02:41:12Z
ABBOTT LABORATORIES,HQD377W2YR662HK5JX27,08142220,US,Green Oaks,US-IL,none,gleif,2026-07-19T02:41:32Z
AES Corporation,,,,,,,index_universe,2026-07-07T20:39:30Z
AEVIS VICTORIA SA,8945007IU37NXIYRG176,CHE-100.842.382,CH,Fribourg,,unresolved,gleif,2026-07-19T02:41:27Z
AGC Inc.,,,,,,,index_universe,2026-07-07T20:39:39Z
AIA Group Limited,,,HK,,,,index_universe,2026-07-07T20:39:40Z
ALCON AG,549300LDT5AP8S0NBM78,CHE-234.781.164,CH,FRIBOURG,CH-FR,none,gleif,2026-07-19T02:41:25Z
ALSO Holding AG,529900ACS8A6PTQI6141,CHE100000259,CH,Emmen,CH-LU,none,gleif,2026-07-19T02:41:14Z
ANA Holdings Inc.,,,,,,,index_universe,2026-07-07T20:39:39Z
ANGLO AMERICAN PLC,549300S9XF92D1X8ME43,03564138,GB,LONDON,GB-ENG,none,gleif,2026-07-19T02:41:32Z
ANZ Bank,,,,,,,index_universe,2026-07-07T20:39:42Z
APA Corporation,,,,,,,index_universe,2026-07-07T20:39:30Z
ARYZTA AG,549300W2PUDQQVRD8W85,CHE-114.160.610,CH,ZÜRICH,CH-ZH,none,gleif,2026-07-19T02:41:31Z
ASMALLWORLD AG,506700FU4FBA20IS2771,CHE356811383,CH,Zürich,CH-ZH,none,gleif,2026-07-19T02:41:25Z
ASML Holding,,,Netherlands,,,,index_universe,2026-07-07T20:39:38Z
AT&T,,,,,,,index_universe,2026-07-07T20:39:30Z
AUTONEUM HOLDING AG,549300FL07XZC5MNXS47,CHE-116.315.303,CH,WINTERTHUR,CH-ZH,none,gleif,2026-07-19T02:41:20Z
AbbVie,,,,,,,index_universe,2026-07-07T20:39:30Z
Abbott Laboratories,,,,,,,index_universe,2026-07-07T20:39:30Z
Aberdeen Group,,,,,,,index_universe,2026-07-07T20:39:37Z
Accelleron Industries AG,254900KS0MD2PAARXD14,CHE-270.303.139,CH,Baden,CH-AG,none,gleif,2026-07-19T02:41:28Z
Accenture,,,,,,,index_universe,2026-07-07T20:39:30Z
Accor,,,,,,,index_universe,2026-07-07T20:39:36Z
Addex Therapeutics Ltd,89450068Y9KVP2MQGH86,CHE-113.514.094,CH,Plan-Les-Ouates,,unresolved,gleif,2026-07-19T02:41:16Z
Adecco Group AG,NI14Y5UMU60O7JE9P611,CHE107031232,CH,Zürich,CH-ZH,none,gleif,2026-07-19T02:41:10Z
Adidas,,,Germany,,,,index_universe,2026-07-07T20:39:38Z
Admiral Group,,,,,,,index_universe,2026-07-07T20:39:37Z
Adobe Inc.,,,,,,,index_universe,2026-07-07T20:39:30Z
Advanced Micro Devices,,,,,,,index_universe,2026-07-07T20:39:30Z
Advantest Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
Adyen,,,Netherlands,,,,index_universe,2026-07-07T20:39:38Z
"Aeon Co., Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
Aflac,,,,,,,index_universe,2026-07-07T20:39:30Z
Agilent Technologies,,,,,,,index_universe,2026-07-07T20:39:30Z
Agnico Eagle Mines Limited,,,,,,,index_universe,2026-07-07T20:39:33Z
Ahold Delhaize,,,Netherlands,,,,index_universe,2026-07-07T20:39:38Z
Air Liquide,,,France,,,,index_universe,2026-07-07T20:39:38Z
Air Products,,,,,,,index_universe,2026-07-07T20:39:30Z
Airbnb,,,,,,,index_universe,2026-07-07T20:39:30Z
Airbus,,,France,,,,index_universe,2026-07-07T20:39:38Z
Airtel Africa,,,,,,,index_universe,2026-07-07T20:39:37Z
"Ajinomoto Co., Inc.",,,,,,,index_universe,2026-07-07T20:39:39Z
